vin,amp,dt
0.54,0.6217498,0.11361750926873604
0.541,0.6216655,0.13412532176873604
0.542,0.6215813,0.13510188426873604
0.543,0.621497,0.13607844676873604
0.544,0.6214129,0.10092219676873604
0.545,0.6213287,0.10092219676873604
0.546,0.6212445,0.10092219676873604
0.547,0.6211604,0.11264094676873604
0.548,0.6210763,0.11264094676873604
0.549,0.6209922,0.11654719676873604
0.55,0.6209081,0.11654719676873604
0.551,0.6208242,0.11654719676873604
0.552,0.6207401,0.12435969676873604
0.553,0.6206561,0.12533625926873604
0.554,0.6205721,0.12533625926873604
0.555,0.6204882,0.12631282176873604
0.556,0.6204043,0.11557063426873604
0.557,0.6203204,0.11654719676873604
0.558,0.6202365,0.11654719676873604
0.559,0.6201527,0.11654719676873604
0.56,0.6200688,0.12533625926873604
0.561,0.619985,0.12533625926873604
0.562,0.6199013,0.12631282176873604
0.5630000000000001,0.6198176,0.12631282176873604
0.5640000000000001,0.6197339,0.12728938426873604
0.5650000000000001,0.6196502,0.09701594676873604
0.5660000000000001,0.6195666,0.09896907176873604
0.5670000000000001,0.619483,0.10092219676873604
0.5680000000000001,0.6193994,0.10092219676873604
0.5690000000000001,0.6193159,0.10092219676873604
0.5700000000000001,0.6192324,0.10189875926873604
0.5710000000000001,0.619149,0.10189875926873604
0.5720000000000001,0.6190655,0.09603938426873604
0.5730000000000001,0.6189822,0.09603938426873604
0.5740000000000001,0.6188988,0.09603938426873604
0.5750000000000001,0.6188155,0.09603938426873604
0.5760000000000001,0.6187323,0.09603938426873604
0.577,0.6186491,0.10092219676873604
0.578,0.6185659,0.10092219676873604
0.579,0.6184827,0.10092219676873604
0.58,0.6183996,0.10580500926873604
0.581,0.6183165,0.10678157176873604
0.582,0.6182335,0.10678157176873604
0.583,0.6181505,0.12631282176873604
0.584,0.6180675,0.12728938426873604
0.585,0.6179846,0.12826594676873604
0.586,0.6179017,0.09408625926873604
0.587,0.6178188,0.09408625926873604
0.588,0.617736,0.10580500926873604
0.589,0.6176533,0.10580500926873604
0.59,0.6175705,0.10580500926873604
0.591,0.6174878,0.10678157176873604
0.592,0.6174052,0.12826594676873604
0.593,0.6173226,0.09310969676873604
0.594,0.61724,0.09310969676873604
0.595,0.6171575,0.09310969676873604
0.596,0.617075,0.09310969676873604
0.597,0.6169926,0.09310969676873604
0.598,0.6169102,0.09310969676873604
0.599,0.6168278,0.09310969676873604
0.6,0.6167455,0.09408625926873604
0.601,0.6166633,0.09408625926873604
0.602,0.6165811,0.09408625926873604
0.603,0.6164989,0.09408625926873604
0.604,0.6164168,0.09213313426873604
0.605,0.6163346,0.09213313426873604
0.606,0.6162525,0.09213313426873604
0.607,0.6161705,0.09310969676873604
0.608,0.6160886,0.09310969676873604
0.609,0.6160066,0.09310969676873604
0.61,0.6159247,0.09310969676873604
0.611,0.6158429,0.09310969676873604
0.612,0.615761,0.09310969676873604
0.613,0.6156793,0.09310969676873604
0.614,0.6155976,0.09408625926873604
0.615,0.6155159,0.09603938426873604
0.616,0.6154343,0.09603938426873604
0.617,0.6153527,0.09701594676873604
0.618,0.6152713,0.09701594676873604
0.619,0.6151899,0.09701594676873604
0.62,0.6151084,0.09701594676873604
0.621,0.6150271,0.09310969676873604
0.622,0.6149459,0.09310969676873604
0.623,0.6148647,0.09506282176873604
0.624,0.6147835,0.09603938426873604
0.625,0.6147025,0.09603938426873604
0.626,0.6146215,0.09603938426873604
0.627,0.6145405,0.09603938426873604
0.628,0.6144596,0.09603938426873604
0.629,0.6143788,0.09701594676873604
0.63,0.614298,0.09701594676873604
0.631,0.6142172,0.09701594676873604
0.632,0.6141366,0.09701594676873604
0.633,0.614056,0.09799250926873604
0.634,0.6139754,0.10482844676873604
0.635,0.6138949,0.10482844676873604
0.636,0.6138145,0.10482844676873604
0.637,0.6137341,0.09115657176873604
0.638,0.6136538,0.09115657176873604
0.639,0.6135735,0.09603938426873604
0.64,0.6134933,0.09603938426873604
0.641,0.6134132,0.09701594676873604
0.642,0.613333,0.09701594676873604
0.643,0.613253,0.09701594676873604
0.644,0.613173,0.10482844676873604
0.645,0.6130931,0.10482844676873604
0.646,0.6130132,0.10482844676873604
0.647,0.6129334,0.10580500926873604
0.648,0.6128536,0.11068782176873604
0.649,0.612774,0.11166438426873604
0.65,0.6126943,0.11264094676873604
0.651,0.6126147,0.09310969676873604
0.652,0.6125351,0.09310969676873604
0.653,0.6124557,0.09408625926873604
0.654,0.6123762,0.09408625926873604
0.655,0.6122968,0.09408625926873604
0.656,0.6122175,0.09408625926873604
0.657,0.6121383,0.11068782176873604
0.658,0.6120591,0.11166438426873604
0.659,0.6119799,0.11264094676873604
0.66,0.6119007,0.11264094676873604
0.661,0.6118217,0.11361750926873604
0.662,0.6117427,0.11459407176873604
0.663,0.6116638,0.11557063426873604
0.664,0.6115848,0.11557063426873604
0.665,0.611506,0.09310969676873604
0.666,0.6114272,0.09408625926873604
0.667,0.6113485,0.09408625926873604
0.668,0.6112698,0.09408625926873604
0.669,0.6111912,0.09408625926873604
0.67,0.6111126,0.09506282176873604
0.671,0.611034,0.09506282176873604
0.672,0.6109556,0.09506282176873604
0.673,0.6108772,0.09603938426873604
0.674,0.6107988,0.09603938426873604
0.675,0.6107205,0.09603938426873604
0.676,0.6106422,0.11850032176873604
0.677,0.610564,0.08139094676873604
0.678,0.6104858,0.08139094676873604
0.679,0.6104077,0.08139094676873604
0.68,0.6103296,0.09408625926873604
0.681,0.6102516,0.09408625926873604
0.682,0.6101736,0.09506282176873604
0.683,0.6100957,0.09506282176873604
0.684,0.6100178,0.09506282176873604
